Term,Amount of Files,Doc Location
'mid,1,4
'tis,2,"3,4"
'twas,1,4
a,6,"2,3,4,5,6,7"
abercrombie,1,4
about,3,"3,4,5"
across,2,"3,5"
acton,1,3
adamantine,1,2
add,1,1
adore,1,5
advance,1,4
advancing,1,4
afar,1,7
aflame,1,4
afloat,1,2
after,1,6
again,4,"2,4,6,7"
against,1,5
ah,1,6
alabama,1,4
all,7,"1,2,3,4,5,6,7"
alone,1,3
along,2,"2,4"
alonge,1,7
amid,1,4
amidst,1,2
among,2,"4,5"
amoret,1,1
an,2,"4,7"
and,7,"1,2,3,4,5,6,7"
andrew,1,4
anger,1,4
anguish,1,4
anguished,1,7
another,1,4
answer,1,4
anticipate,1,2
anxious,1,3
april,2,"2,3"
are,4,"2,3,4,5"
arid,1,5
arm,1,4
arms,2,"2,3"
arose,1,4
around,1,4
array,1,4
art,1,3
artless,1,1
as,7,"1,2,3,4,5,6,7"
ashore,1,5
at,5,"2,3,4,5,7"
athwart,1,5
atom,1,5
away,4,"1,2,4,7"
aziza,1,5
azure,1,5
back,2,"2,7"
backward,1,7
backwards,1,5
baffled,1,4
balcony,1,6
bards,1,1
bare,1,5
baritarian,1,4
bars,1,5
battle,3,"2,3,4"
bay,1,4
be,6,"1,3,4,5,6,7"
bear,1,4
bearers,1,4
beast,1,4
beat,1,7
beats,1,5
beauteous,1,6
beauties,1,6
beautiful,1,7
beauty,3,"1,5,6"
beauty's,1,1
bedford,1,3
before,3,"3,4,7"
begin,1,4
beholt,1,1
being,1,6
beloved,1,7
bending,1,6
beneath,1,4
between,1,2
billow,1,2
birth,2,"3,7"
blaze,1,2
blazing,1,7
bleeding,1,4
blessed,1,2
blind,1,7
blinding,1,7
bliss,1,7
blisses,1,7
blood,2,"3,6"
bloodied,1,3
bloody,1,4
blow,1,5
blue,1,5
bluebird,1,3
bluebirds,1,3
blur,1,7
body,2,"6,7"
body's,1,7
bold,2,"2,4"
boldest,1,2
boom,1,2
bowed,1,6
brain,1,7
brand,1,2
brave,2,"2,4"
bravery,1,4
break,1,4
breaker,1,7
breast,3,"4,6,7"
breastworks,1,4
breath,3,"2,6,7"
breathed,1,6
breathless,1,7
breeze,1,5
brigade,1,4
bright,3,"1,2,6"
brine,1,2
bring,2,"2,3"
brings,1,1
britain's,1,2
british,3,"2,3,4"
broke,1,3
brooded,1,7
brother,1,3
brotherhood's,1,3
brotherly,1,3
brothers,1,2
brought,1,4
brow,1,4
brown,2,"3,4"
buck,1,4
