Term,Hits
a,6
adamantine,1
afloat,1
again,3
all,3
along,2
amidst,1
and,17
anticipate,1
april,1
are,2
arms,1
as,5
at,1
away,1
back,1
battle,2
between,1
billow,1
blaze,1
blessed,1
bold,1
boldest,1
boom,1
brand,1
brave,2
breath,1
bright,1
brine,1
bring,1
britain's,1
british,1
brothers,1
bulwarks,1
but,3
by,4
came,1
captain,1
ceased,1
cheer,1
cheering,1
chief,1
chime,1
cities',1
condoles,1
conflagration,1
conquer,1
crews,1
cried,1
crown,1
dane,1
day,1
day's,1
deadly,1
death,3
deathshade,1
deck,1
deep,4
denmark,1
denmark's,1
determined,1
did,1
died,2
drifted,1
each,2
eclipse,1
elsinore,1
england,2
england's,1
faithful,1
fame,1
fathom,1
feeble,1
feet,1
festal,1
fierce,1
fires,1
fleet,1
fleeter,1
flew,1
flushed,1
foe,1
for,2
forth,1
from,3
full,1
funeral,1
gallant,1
gave,1
gloom,1
glorious,1
glory,1
good,1
grave,1
grief,1
gun,2
hailed,1
hand,1
havoc,1
he,2
hearts,2
heaven,1
held,1
her,4
his,2
hurricane,1
in,3
instead,1
is,1
it,1
its,1
joy,3
king,1
land,1
lay,1
led,1
let,2
leviathans,1
light,3
lighted,1
like,2
line,1
lips,1
lofty,1
looked,1
make,1
many,1
meet,1
men,1
mermaid's,1
might,3
morn,1
mournful,1
nelson,1
north,1
not,1
now,1
o'er,4
oak,1
of,16
old,1
on,5
once,1
or,1
our,4
out,1
pale,1
path,1
peace,1
people,1
pride,1
prince,1
proud,1
proudly,1
raise,1
renown,1
repose,1
riou,1
rolls,1
rose,1
round,1
rushed,1
sail,1
save,1
scene,1
sent,1
shades,1
shattered,1
shines,1
ships,1
shone,1
shots,1
sigh,1
sight,1
sign,1
silence,1
sing,1
singing,1
slack,1
sleep,1
slowly,1
smiling,1
so,3
soft,1
song,1
souls,1
sounds,1
space,1
spoke,1
spread,1
steep,1
stormy,1
strike,1
submission,1
sun,2
ten,1
that,4
the,42
their,4
them,3
then,3
there,1
they,2
think,1
thy,2
tidings,1
till,1
time,1
to,7
true,1
uproar,1
us,3
van,1
victor,1
wail,1
was,2
wave,1
we,1
when,2
where,1
while,3
whilst,1
wide,1
wild,1
wildly,1
winds,1
winecup,1
with,2
withdrew,1
woeful,1
wounds,1
ye,2
yet,1
yield,1
