Term,Hits
'tis,1
a,7
about,1
across,1
acton,1
all,4
alone,2
and,23
anxious,1
april,3
are,2
arms,1
art,1
as,4
at,4
battle,1
be,1
bedford,1
before,1
birth,1
blood,1
bloodied,1
bluebird,1
bluebirds,2
bring,1
british,2
broke,1
brother,1
brotherhood's,1
brotherly,1
brown,1
but,10
call,2
calm,3
calmer,1
came,2
can,1
carlisle,1
chelmsford,1
clasp,1
clear,1
close,1
come,3
comes,1
crawl,1
crawled,1
crawls,1
crooks,1
cry,1
damned,1
darkness,1
dawes,1
dawn,1
day,1
dead,5
devens,1
died,1
do,3
door,2
doorstep,1
down,2
draw,1
dropped,1
dwell,1
each,1
earth,1
elbow,1
ere,2
ever,1
every,1
eye,1
eyes,5
fall,1
fame,1
fell,2
ferrying,1
file,2
fire,2
for,1
forth,2
freedom,1
from,2
full,3
fustian,2
future's,1
gaze,1
glood,1
god,2
godly,1
goes,1
good,1
gore,1
got,1
green,1
grounding,1
gun,1
gushed,1
hadley,1
half,1
hand,1
harrington,4
harringtons,1
hast,1
haste,4
hath,5
haughtily,1
have,1
he,7
head,4
heard,1
heavenly,1
here,1
highhoarse,1
hill,1
him,2
his,7
hit,1
hither,2
homespuns,1
homespuns',1
honest,1
hose,1
house,2
housedoor,2
hurt,1
if,2
in,11
into,1
ire,1
is,5
john,2
killed,1
kiss,1
knew,2
lay,2
leap,1
least,1
let,2
lexington,2
liberty,1
lie,1
lies,2
lift,2
lifts,1
light,1
likewise,2
lincoln,1
lines,1
little,3
littleton,1
look,1
looked,1
love,1
makes,1
marked,1
maybe,1
men,8
might,1
more,1
morn,1
morning,1
morning's,1
much,1
munroe,1
must,1
my,3
nay,1
neighbor,1
never,1
night,1
no,1
not,2
now,3
o,4
o'clock,1
o'er,2
of,13
oh,1
on,3
one,1
or,1
out,4
own,2
palm,2
pardons,1
parker,2
path,1
patriot,2
paul,1
plainly,1
porterthese,1
prescott,1
psalm,2
puts,1
quick,1
reached,1
rebels,1
red,4
redcoats,1
revere,2
rise,1
rivershore,1
robin,1
round,2
rub,2
run,1
rushed,1
save,1
saw,1
say,2
see,2
seen,2
serene,1
seven,2
shall,2
shouts,1
sing,1
six,1
sod,1
somewhere,2
soon,2
stand,2
stare,1
step,3
still,1
stout,1
strike,1
stroke,1
sun,1
tender,1
that,4
the,34
thee,2
then,2
these,1
thine,3
thing,1
this,3
thou,1
through,1
thy,3
to,5
travel,1
trooping,1
two,1
unstirred,1
up,1
very,1
village,1
villagegreen,1
voice,2
voices,1
watched,1
way,1
where,2
wherein,1
while,1
who,3
wife,2
will,1
window,1
wipe,1
wise,2
with,3
woodman,1
word,1
would,1
wound,2
wounded,1
yawn,1
ye,8
yeomen,1
yet,2
yon,3
your,2
