Term,Hits
'mid,1
'tis,1
'twas,1
a,11
abercrombie,1
about,1
advance,2
advancing,1
aflame,1
again,1
alabama,1
all,2
along,1
amid,1
among,1
an,3
and,45
andrew,1
anger,1
anguish,1
another,1
answer,1
are,2
arm,1
arose,1
around,1
array,1
as,11
at,6
away,1
baffled,1
baritarian,1
battle,3
bay,1
be,2
bear,1
bearers,1
beast,1
before,7
begin,1
beneath,1
bleeding,1
bloody,3
bold,1
brave,2
bravery,1
break,1
breast,1
breastworks,1
brigade,1
british,1
brought,1
brow,1
brown,1
buck,1
built,1
bulchi's,1
bulldogs,1
but,5
by,6
cabin,1
calm,1
came,10
cannon,2
cannons,1
captives,1
care,2
carroll,2
causes,1
ceased,1
charger,2
cheering,2
chieftain,1
children,1
cleft,1
colonel,1
columns,4
commander,2
commanding,1
companion,1
controlled,1
corpses,1
cottonbales,1
could,1
count,1
courage,2
cried,1
crowley,1
crown,2
day,2
dead,2
deadly,3
death,2
december,1
did,3
din,1
discipline,1
distinct,1
do,1
doe,1
dog,1
dominique,1
done,1
doom,1
down,2
draw,1
drawing,1
drive,1
dropp'd,1
dying,1
each,1
eager,1
eagleeyed,1
earch,1
earth,1
earthwork,1
easily,1
eastern,2
edward's,1
effort,1
eight,1
eighteenpounders,1
eighth,1
ere,1
erect,1
evening,1
exulting,1
eye,1
fades,1
faintly,1
falls,3
falsehood,1
fasting,1
fatal,1
fear,1
fearless,2
feel,1
feet,1
fell,2
fellow,1
felt,2
fever,1
few,1
field,1
fierce,2
fiercest,1
fight,2
fighting,2
final,1
fine,1
fingers,1
finish,1
fire,3
fired,1
firelight,1
firmly,1
first,1
flame,1
fled,3
floods,1
fly,1
foe,2
foeman,1
fog,1
fold,1
fool,1
for,5
force,1
foremost,1
forth,2
fortyfourth,1
found,1
fourteen,1
friend,1
from,8
frown,1
gain,1
gallant,3
gentle,1
gibbs,2
glance,1
glory,2
go,1
god,2
gone,1
good,2
gorges,1
grapeshot,1
grasping,1
gray,1
greet,1
grew,1
ground,1
had,4
hairs,1
half,1
hastily,1
hasty,1
have,4
he,13
head,1
hear,1
heard,5
heart,1
hearts,1
heavy,2
heedless,1
here,1
hid,1
high,2
highlanders,1
him,4
himself,1
his,12
hold,1
horse,1
hour,1
hours,1
how,4
hundreds,1
hurled,1
hurtle,1
i,9
in,22
instead,1
into,1
invaders,1
is,5
it,10
its,7
jackson,1
jackson's,2
january,1
joyous,2
keane,1
kept,1
knew,1
labored,1
laggard,1
laurels,1
leader,4
leads,1
leap'd,1
leaps,1
leave,1
led,3
left,2
levies,1
lie,2
lies,1
lieutenants,1
life,1
lifted,2
light,1
like,2
limb,1
limbs,1
line,2
lit,1
little,1
log,1
losses,1
loudly,1
lusty,1
made,2
major,1
man,1
many,1
march,1
mark'd,2
marked,2
marshall'd,1
may,1
me,2
measured,1
meet,1
melt,1
men,6
mine,1
mist,2
mold,1
moment,1
more,1
morning,1
mountain,2
movement,2
murmur,1
my,8
name,1
native,1
nearer,2
need,1
never,2
new,2
night,1
ninetythird,2
no,4
not,3
now,1
o'er,1
of,31
oh,1
old,3
on,7
once,1
only,1
or,1
orders,1
orleans,2
others,1
our,18
over,1
pakenham,2
pallid,1
panic,1
passed,2
pathway,1
patience,1
paved,1
peal'd,1
person,1
plain,3
poorer,1
pour,1
powder,1
power,2
prayer,1
proud,1
quick,2
quickly,1
rain,1
raised,1
rally,1
ramparts,1
ran,1
ranges,1
ranks,1
raw,1
rear,1
red,1
reform'd,1
remembered,1
responded,1
rest,1
rested,1
retreated,1
rifle,1
rifles,3
right,2
ring,1
ringing,1
road,1
roar,2
roaring,1
roll'd,1
round,1
rude,1
ruin,1
rushes,1
rushing,1
salamanca,2
sat,1
save,2
saw,2
say,1
scales,1
scarlet,2
scenes,2
scotsmen,1
see,1
seemed,1
seen,2
sending,1
sharp,1
sharply,1
shatter'd,1
shone,1
shoot,1
shore,1
short,1
shots,1
should,2
shouting,1
shouts,1
show,1
shows,1
shrunken,2
sight,1
sighted,1
sign,1
silence,2
single,1
sir,1
sires,1
slain,3
sleepless,1
slowly,1
small,1
smoke,1
snow,1
so,2
soared,1
softly,1
soldiers,1
sole,1
some,2
soon,2
sorely,1
soul,1
speak,1
spite,1
spott's,1
staggers,1
stanchless,1
stand,1
steady,2
step,1
still,4
stirr'd,2
stirring,2
stood,4
stormers,1
story,1
stout,1
strife,1
stronger,1
sudden,1
sun,1
swamps,1
swampy,1
swift,1
take,1
talk'd,1
tartan,1
tell,2
tennessee,1
terror,1
than,1
that,12
the,79
their,10
them,5
then,4
there,5
they,6
thin,1
third,1
thirtytwos,1
those,2
though,2
thought,1
thread,1
through,4
thunder,1
thunders,1
thus,1
till,2
tire,1
to,20
today,1
told,1
tornado,1
travel'd,1
trigger,1
triggers,1
trust,1
turned,1
twain,1
twentyfour,1
unmoved,1
up,1
upon,3
upward,1
us,9
utter,1
vain,2
vigils,1
voice,3
volleys,1
wait,1
waited,1
waiting,2
was,8
waste,1
waver,1
waves,1
we,9
weak,2
welcome,1
well,2
went,1
were,6
when,7
where,1
while,2
white,2
who,4
wilkinson,1
will,2
with,10
within,2
won,1
work,6
wounded,3
yet,2
you,5
you'd,1
young,1
your,2
