Term,Hits
a,1
about,1
across,2
adore,2
against,1
all,1
among,1
and,13
are,1
arid,1
as,5
ashore,1
at,1
athwart,1
atom,1
aziza,3
azure,1
backwards,1
bare,1
bars,1
be,2
beats,1
beauty,3
blow,1
blue,1
breeze,1
burnt,1
came,1
champa,1
circling,1
citron,1
couch's,1
curve,1
delicate,1
delight,1
desire,1
die,2
doubt,1
dry,1
dust,3
earth,1
ever,2
every,3
eye,1
face,1
fade,1
fading,1
fair,1
feathery,1
feet,1
fibre,1
fire,1
fitted,1
flare,1
flowers,1
for,2
found,1
from,1
fronds,1
full,2
gardens,1
glow,1
golden,1
grew,1
hair,5
heart,1
hidden,1
his,1
how,4
i,10
if,1
in,7
infinite,2
is,2
it,1
known,1
last,2
lay,2
light,1
lips,2
loosened,1
lose,1
love,1
loved,1
maddens,1
me,3
moonbeams,1
my,9
nerves,1
night,2
o,1
ocean,1
of,10
on,5
one,2
over,1
pale,1
palm,1
palms,1
passionate,2
playing,1
pressed,1
printed,1
pulses,1
quiet,1
remember,1
rest,1
roseate,1
roseleaf,1
sable,1
scented,1
sea,1
see,1
send,1
sense,1
shade,1
shall,1
silver,3
sin,1
skin,1
sky,2
sleep,3
slender,1
slow,1
slumber,1
soft,1
sombre,1
soothe,1
starlight,3
stars,1
sunset,1
sweet,4
swung,1
tense,1
that,4
the,23
their,2
these,1
thing,1
things,1
this,3
though,2
thoughts,1
throat,1
through,1
thrown,1
tint,1
to,4
torment,1
touch,1
touched,1
trees,1
until,1
veined,1
violet,1
waned,1
was,1
waxed,1
were,4
when,2
white,1
whom,2
will,2
winds,1
with,4
you,6
young,1
your,14
youth's,1
