Term,Hits
a,1
after,1
again,1
ah,3
all,1
and,13
as,1
balcony,1
be,1
beauteous,1
beauties,1
beauty,1
being,1
bending,1
blood,1
body,1
bowed,1
breast,1
breath,1
breathed,1
bright,1
burning,2
by,3
can,2
cannot,1
caresses,1
cast,1
charm,2
clings,1
coal,2
dark,1
days,2
deep,1
desire,1
did,2
drank,1
evenings,1
every,1
eves,2
eyes,2
feet,1
film,2
fire,1
flood,1
flowed,2
forgot,2
fraternal,1
from,1
gentle,2
gulf,1
hands,1
happy,2
head,1
heart,1
heaven,1
how,2
i,4
illumined,2
imperishable,1
in,7
infinite,2
kisses,2
knees,1
languid,1
life's,1
like,1
lovely,1
made,1
me,1
meet,1
memories,2
mistress,2
mistresses,2
mother,2
move,1
my,5
night,2
not,2
now,1
o,1
o'er,1
of,9
old,1
on,1
once,1
over,2
past,1
perfume,1
perfumes,2
pleasure,1
plunged,1
poisonous,1
profound,2
pulsing,1
queen,1
reborn,1
recall,2
rise,1
rosevapour,1
round,2
said,1
seas,1
see,1
shalt,1
slept,1
soft,1
soul,1
sound,1
space,1
spell,1
strong,1
suns,3
sweet,2
the,14
then,1
things,1
those,5
thou,3
thought,1
to,1
twilights,2
us,2
veiled,1
vows,2
warm,2
was,1
we,2
were,2
where,1
with,1
would,1
you,1
your,9
