Term,Hits
a,9
afar,1
again,2
all,4
alonge,1
an,1
and,28
anguished,1
as,2
at,2
away,1
back,1
backward,1
be,1
beat,1
beautiful,2
before,1
beloved,1
birth,1
blazing,1
blind,1
blinding,1
bliss,1
blisses,1
blur,1
body,4
body's,1
brain,1
breaker,1
breast,2
breath,1
breathless,1
brooded,1
burning,1
but,1
by,1
came,2
chaos,1
child,1
chords,1
close,1
compulsion,2
consumed,1
cool,1
cosmic,1
cry,1
dark,1
darkness,1
days,1
dearly,1
death,1
deep,1
depths,2
desire,3
despairing,1
despising,1
destroyer,1
dilate,1
dim,2
disclosing,1
disguising,1
door,1
down,1
drew,1
drink,1
drooping,1
drown,1
dwelt,2
earth,2
ecstasies,1
else,1
ether,1
everlasting,1
eyes,2
face,4
felt,1
fierce,1
find,1
fine,1
fingers,2
fire,3
fires,1
flame,3
flamed,1
flaming,1
flesh,3
flippancies,1
flow,1
flowed,1
flung,1
flush,1
for,4
forth,1
from,2
fun,1
fuse,1
gave,1
gay,1
gayly,1
giddiness,1
glad,1
glare,1
glorious,1
god's,1
grace,1
gracious,1
grow,1
had,1
halfseen,1
hands,1
he,4
head,1
heart,2
hells,1
helpless,1
her,14
hidden,1
him,8
his,7
huge,1
hushed,1
in,12
intense,1
into,1
ironic,1
it,1
its,1
itself,1
jaded,1
jocund,1
joy,1
joyous,1
jubilating,1
keys,1
knee,2
last,1
laugh,1
life,6
light,2
lightly,1
lights,1
like,4
living,1
lovable,1
love,2
loved,1
loveliness,2
loving,1
lure,2
mad,2
made,3
maker,1
making,2
measure,1
meet,1
mesh,1
met,1
might,2
mirth,1
monstrous,1
mood,1
moon,2
moons,1
more,1
moved,1
moving,1
music,3
music's,1
nakedness,1
nebulous,1
nights,1
nocturne,1
now,2
of,10
on,2
once,1
one,1
opened,1
opening,1
or,1
orgiastic,1
out,2
over,1
pages,1
pain,4
pains,1
passion's,1
passionate,1
past,1
plangent,1
play,1
pleasure,1
point,1
pulses,1
rapid,1
reckless,1
red,1
reeling,1
rich,1
rippled,1
rise,1
roaring,1
rose,1
ruinous,1
saffron,1
sang,2
sarcastic,1
satin's,1
saw,1
scarcely,1
screaming,1
second,1
seductive,1
see,2
seemed,4
seen,1
self,1
senses,1
set,1
shadowed,1
shame,1
she,5
shone,1
short,1
shoulder,2
show,1
simple,1
sin,1
sing,2
sinking,1
slender,1
slow,1
smile,2
smiled,1
so,2
soft,3
something,1
soul,3
space,2
speechless,1
spirit's,1
splendor,1
star,3
stars,2
streamed,1
streets,1
strove,1
struck,1
subtle,1
suffering,1
sun,4
suns,1
swaying,1
sweet,2
swiftly,1
terror,1
that,8
the,11
their,1
them,3
then,1
therein,1
these,1
they,2
thing,1
this,4
through,2
thrown,1
tide's,1
time,1
titanic,1
to,20
torn,1
tortured,1
trembled,1
trembling,1
tremulous,1
troubled,1
trustfully,1
turn,1
turned,1
undreamed,1
until,1
up,1
upon,1
vast,2
veins,1
was,1
went,2
were,1
what,2
wheeling,1
wherein,1
which,1
while,3
whirled,2
whirls,1
white,3
whole,2
wide,1
wild,1
wistfully,1
with,3
yearned,2
yearning,1
young,1
